tweets,class,label
You can't even make those very expensive steel wind turbines without coal!,figurative,1
as far as I know prescribed your daily limit of,figurative,1
it's not her mental condition that is the problem. Awesome framing ABC7chicago,figurative,1
"I once asked a sapiosexual why she 'Liked' something I wrote, so she replied: 'I'm a sapiosexual' - I hadn't the foggiest",figurative,1
For some reason that dude has *me* blocked. &gt;&gt;&gt;&gt;,figurative,1
At concert... And they played Taylor swift....,figurative,1
"They originally wanted REM's ""It's the End of the World as We Know It,"" but REM doesn't do ads.",figurative,1
Instagram : by unithalis - This has a lot of in it. The right behi…,figurative,1
getting an appartment in the middle of stockholm besides a 5-star hotel but for a 1/4 of the price 😂,figurative,1
At least it happened right in front of a hospital,figurative,1
"""Greasy sermon is when a sermon has no substance."" -Christie",figurative,1
"Hard 2 believe if Vegas had a team now they could sign Richards, Stoll and Heatly. Probably wouldn't even have to pay moving expenses",figurative,1
you obviously missed the point.,figurative,1
who cares. UN need to give report to certify it.,figurative,1
"so this Parchin story is going to rely on 1 soil sample from ONLY? no cross checking? Sure, bcs Obama is a Hawaiian hippie!",figurative,1
Didn't you know that being means that you aren't reliable.,figurative,1
lol how dumb are you? You tweet me saying stop stalking,figurative,1
Now says it is no worse that Vadra.,figurative,1
I love it when the power goes out while filling out a job application online. Ugh...😐😑,figurative,1
"And worse , R.I.C.O was hands down his best song on his album .... Featured drake",figurative,1
Baby has her first runny nose. Yay...,figurative,1
God what kind of sign are you trying to send me,figurative,1
'To win would be the cherry on top'...oh the lol,figurative,1
please say that was,figurative,1
"Gotta believe that's what the Founding Fathers intended, no? Only hated England because of the weather",figurative,1
"Hey, he's only been dead 40 years...",figurative,1
All my too strong it can make ur metal fall(metaphor) believe that,figurative,1
Well today is going fan-fucking-tactic so far,figurative,1
My god they're such an EYESORE. Someone tell the Commissioner!,figurative,1
"The only thing you could really do at 18 is drive people around, sign legal papers, and go to clubs lol. How exciting.",figurative,1
High level from in this article about pirated content,figurative,1
Scott Kazmir and Lou Lamoirello are both trending on Twitter. What? Are they the newest members of One Direction?,figurative,1
I'm have a SUPER great night 😡,figurative,1
Unlike the of the McDonald's on the Guy's Hospital campus.,figurative,1
she got fired for discriminating against gay ppl and she suing bc she feels discriminated.,figurative,1
always nice when people ignore admins.,figurative,1
Furore over classrooms ‘promoting radical sexual experimentation’ Be Afraid!,figurative,1
So pleased with managment support,figurative,1
"is apparently one of the worst movies of the year so far. How surprising, a movie with Adam Sandler & Kevin James is awful.",figurative,1
When posts abt having no notes have notes,figurative,1
Oh. Madeline. Yay.,figurative,1
"Also yeah great, more tank attunement gameplay. Everyone LOVES the Fire/Staff build...",figurative,1
White House labels rally against deal 'pro-war rally' | Military Times,figurative,1
There's nothing like the constant sound of an over enthusiastic jet washer user to really p*** you off,figurative,1
Considered once one of most secure service 'Blackberry' getting shutdown quoting security reasons.,figurative,1
says should stay out of domestic UK politics. reports it as rare intervention.,figurative,1
"MehrTarar During NSA meets, Sartaj Aziz to raise the issue of Salman Khan crossing border,beating Pak Cops",figurative,1
It looks to be one of those days where it is free flowing......,figurative,1
the of blaming constant pimping of race relations for ratings for causing sum1 to commit a crime that gets them ratings,figurative,1
And it rains.... and we're going camping tomorrow!,figurative,1
criminal defense attorney's sports car stolen after leaving keys in vehicle. ...,figurative,1
newspapers are getting hammered due to pension issues and their Ed boards are against pension reform,figurative,1
"mmhm. It's ""Normal"" I'm sure.",figurative,1
Glad to see that production isn't bending the rules AT ALL for ...,figurative,1
I love it when people stop right in front of the revolving door.,figurative,1
It's actually embarassing how stamp 'Service Guaranteed' on their bill 😂😂😂,figurative,1
&lt;&lt;== THIS guy is accusing someone ELSE of telling ????,figurative,1
So many good things are happening to me right now that I just feel like crying!,figurative,1
"I know the answer, MORE GUNS MORE GUNS MORE GUNS this is MERICA! (Sarcasm alert)",figurative,1
"My, aren't you a lovely person.",figurative,1
I'm never mean LOL !! hence the hashtag haha,figurative,1
however I my neck of the woods DEMs r also supporting Trump.,figurative,1
and he is indias longest serving pm straight 10 yrs,figurative,1
Can't wait to go on a field trip tomorrow 😊😊😊😊😊😊😊,figurative,1
Nice start by the,figurative,1
Schools are closed for today as Kalam sir expired yesterday. And he once said 'Mark no national holiday on my death'.,figurative,1
....LOL @ THE CITY BKA THE HOME OF CHAMPIONS,figurative,1
When other people cant say your name and when told the nick name they go so your hash as in hash brown 👮👮,figurative,1
My Artist Comparison On Songkick Is My Dad ....,figurative,1
Judy sounds really excited.,figurative,1
that tweet sucked so bad,figurative,1
wonder how many ppl 'complain' due to the graphic nature of this picture,figurative,1
and who would have guessed that she was gonna pick the Ryan Gosling lookalike Every woman in America h8s her.,figurative,1
"Word of the day: hippopotomonstrosesquippedaliophobia, which is the fear of long words.",figurative,1
Kasten drags me around stores and then tells me I'm no help.,figurative,1
"""When government treats people differently, freedoms begin to erode.""",figurative,1
“: Define,figurative,1
"By WAR, Votto is only the sixth best player. I can't believe he sucks so bad.",figurative,1
. using old How.Do studio pics to illustrate an on-it piece about millennials work-life balance.,figurative,1
Rivals trying to buy title,figurative,1
Watching the news and it's not really news,figurative,1
"Wow, I super dislike social media.",figurative,1
I love getting mail saying that my medical & personal information has been compromised.,figurative,1
Can't wait for 2017 when we'll get the 2018 announcement date for No Man's Sky !,figurative,1
"Hahaha pot, kettle and black are words that come to mind",figurative,1
I just wanna thank whoever posted that pic of Oberyn vs The Mountain.,figurative,1
have faith breathes this too shall pass..🙏,figurative,1
It's crazy we was riding in the all white ford bronco and all the white girls loved the car lol,figurative,1
you want me to click your unlabeled link? ;),figurative,1
was gonna be a produtive muffin but ended up acting like a donut and almost breaking my hand...while working as a baker,figurative,1
McGreevey running a jail re-entry program despite fact he's the one who should have served time.,figurative,1
even more ima 👀 see da 😏 smh ...... WESTLONDON…,figurative,1
"""I whip my hair back and forth!""",figurative,1
Benteke pictured with fan at hotel the day he signed for Liverpool. That T-shirt though.,figurative,1
I love getting woke up at 630 when I don't have to be at work for another 1.5 hours,figurative,1
Wow! Look at all that surgery done! 😉😱 #😍,figurative,1
they're going to need a contractor to fix that,figurative,1
wow eloquence...fucking dumb fuck? and you meant NOW and it's LOSER...1 o buddy....,figurative,1
Isaac's ironic drawing,figurative,1
might use the hundreds of takeaway boxes I've munched my way through over the years!,figurative,1
"Amazing how many Bostonians are anti-Olympics b/c they fear cost overruns, yet they perennially vote for Democrats to run the state.",figurative,1
I was thinking this team needed more pitching,figurative,1
I am iron man. -Tony Stark (iron man),figurative,1
Just home from work......wide awake......yay........,figurative,1
we usually speak good about a person when he is dead!!! And criticize when he is alive.,figurative,1
"Mourinho: ""Chelsea's rivals are trying to buy the premiere league.""",figurative,1
Life... making it more empty and hollow even though it's offering so much.,figurative,1
Good will always fire before evil and their bullets fly truer. It's a scientific fact.,figurative,1
The fantastic isn't at all ruined by large logo & 'New & Exclusive' tag. Barely any room for the subtitles,figurative,1
There's clearly something wrong with Cueto; those scouts definitely weren't BSing to lower his stock.,figurative,1
because it's the cool thing to do,figurative,1
"That's weird, I would have thought that Kanye would have been a great closing act for the Pan Am Games...",figurative,1
The idea of political correctness itself is politically incorrect.,figurative,1
Hey thanks for showing us the replay.,figurative,1
Trending hashtags like justify Baloch separatists.,figurative,1
"15 minutes now, good job i didn't actually want to upload today",figurative,1
"They're not , they're just expressing their 1st Amt rights with 2nd Amt",figurative,1
"points out that will be addressing in its Chinese funded, Chinese built HQ",figurative,1
Yeah... If only there was a way to prevent crimes in gun-free zones from happening,figurative,1
Wow I would totally vote for you.,figurative,1
"Two little yellow books on creativity, that contradict each other perfectly!",figurative,1
RIP. You will be remembered everytime we dream. talk on Livable planet earth?,figurative,1
6 hour van rides are so fun,figurative,1
Common sense has no place on here! What the fuck is wrong with you!?!?!?!,figurative,1
"yes, Miranda v. Arizona. Plus mimes can't unambiguously invoke that right since they won't speak.",figurative,1
Terrelle Pryor and Braxton Miller Both Wide Receivers Now!,figurative,1
I'm excellent with the Hard Shit...sometimes the most simple shit is what gets past me,figurative,1
Being forced to shop all day in Utah with my mom....... What could be better? Honestly this is SO FUN,figurative,1
didn't Steve Biscotti literally have a player get away with murder?,figurative,1
Do you see the problem here?,figurative,1
Really good weather to go to the shard today 👌🏼 also brilliant when hungover and dying 😷,figurative,1
This Monday started off great and is continuing to get better 😒,figurative,1
Great! The Royals have a AAA pitcher throwing today.,figurative,1
So- an ebony woman named Ivory at the chocolate room brought me a vanilla Sundae on Saturday night.,figurative,1
haha so how many more games will let wright start?? Cuz man is he good! might as well bring the L screen out & throw BP!!!,figurative,1
An album called is in the nation while national news is condemning for spiking drinks.,figurative,1
What this Grand Prix needs is a little more action.,figurative,1
This is laughable from the biggest Chelski rent boy of them all!,figurative,1
Running on fumes. Can't even do the math on how many hours I've been on the go...not that I can on a normal day.,figurative,1
wow. What a leader. TC is the best.,figurative,1
Thanks for your previous stats. in NL scoring coupled with a better staff could be a playoff team. Fire Price,figurative,1
An Australian enquiry? Same Australia that criminalises those making allegations of sexual abuse in containment camps?,figurative,1
Ironic that video was initially used to monitor criminal activity. Now they need video to monitor police criminal activity,figurative,1
Just in time for training camp...great.,figurative,1
small Asian kids work hard and are cheap I hear helped Nike.,figurative,1
"The Verge ♥ Apple, shock.",figurative,1
"If I had a dollar for every second I think of you, I'd start thinking about you.",figurative,1
You are scum. I hope you lose all your money and live on the street with cats.,figurative,1
Emergency & contingency planning colleague during meeting today said that earthquakes were the least of his worries.,figurative,1
Sister Cristina - Like A Virgin via,figurative,1
Total for breakfast this morning was $16.66.. & the car in front of me is BLARING awful opera music. Great start to my day I'd say.,figurative,1
•Out of the domestic race • I can't do the ironing! 😗,figurative,1
Wow. You two look really scary.,figurative,1
Gas tank cover gone? Just stuff plastic bags into it! Genius!,figurative,1
Bravo you just changed the world sharing the dentist address ...,figurative,1
"ah Sydney, the perfect city in so many ways",figurative,1
teaches us to make code more readable yet uses TLAs (three letter acronyms) itself all over the place. WTF?,figurative,1
Nicely said...on Twitter. Regards,figurative,1
Chicago Lego store. Notice that Doctor Doom is on Trump Towers.,figurative,1
lol.. (as i code Meta for a Fortune 5 manufacturer website and do Rep mgmt for Presidential campaign) ..,figurative,1
.BREAKING says & are barbaric!,figurative,1
PM begging Asian millionaires to come to UK to create Northern P/house while telling penniless Arabs at Calais to get lost,figurative,1
"Btw, Dodger fans, be sure to blame Mattingly for that last play.",figurative,1
Wait this is a WHOLE article dedicated to ESPN having no shame for using America's Team for attention?,figurative,1
Could lead to a more creative ? Interesting research here - via,figurative,1
Fact: If you saw a viral video before ur friend u r better then them.,figurative,1
Actually the words from you both on this thread is really bad. He is human being. We all have flaws.,figurative,1
A Philosophy Degree found a misuse of grammar.,figurative,1
i almost fainted when I read they got him cash. What a Steal!,figurative,1
"""It will rain in these ROUND CIRCLES.."" I just love reporters 😅",figurative,1
Does anybody know if is gonna be on TV anytime soon?,figurative,1
"""Educated human beings can help others"" Refugees want their kids to be able help others",figurative,1
Why not share your Photoshop license with clients? Just as important as premium plugin -,figurative,1
when you're never good enough for people who ain't good for shit ......,figurative,1
and then fans would complain that he's not getting paid that much $ to be blindfolded,figurative,1
"Quiet hands, boys. Quiet hands. While you're at it, get your foot down early & swing down.",figurative,1
I love the smell of patchouli in the morning.,figurative,1
got up early to drive home so I could get to work on time. my tire blew out on the way there. now have to call out of work.,figurative,1
One day left! Please vote for my on it seems in light of the recent tragedy! RIP,figurative,1
Is the energy boss really called Con?,figurative,1
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,figurative,1
at Cameron's last swimming lesson and it's a pool party. 30 screaming kids and giant floats splashing everywhere. Such fun.,figurative,1
Some absolutely ratchet girl is wearing a hoody that says 'ratchet'...,figurative,1
"totally love that your smoothie shop got rid of styrofoam, simultaneously disappointed there's nowhere to recycle...",figurative,1
oh you cricket lot are such a laugh,figurative,1
either you are far away from or you are being,figurative,1
"Southern baptist sets out to prove god is real, ends up proving Darwin's theory of evolution is realerer.",figurative,1
Get away from me sleep... MUST KEEP STUDYING,figurative,1
I love how sharing and connected my family is,figurative,1
Yea! great product! If you want to lose all your data in a year and be forced to pay to restore it,figurative,1
I didn't know that taking a selfie is being creative xD,figurative,1
The one with the most money in the end wins!,figurative,1
Is not it that esurance had to film a tree being cut down and play it in reverse to illustrate saving trees?,figurative,1
of course not. Who wants to be honest these days?,figurative,1
hey… they wanted to worship him for being a suicide bomber,figurative,1
"When a man (Walter Palmer) murders an animal (Cecil - lion), we bay 4 his blood. When an animal (Yakub) murders men, we demand mercy.",figurative,1
I hate when I lock myself out & then deliberately use racial slurs repeatedly because I don't think any1 can hear me,figurative,1
"Oh Deep Blue Sea, you are fucking terrible. But yet, I watch.",figurative,1
My tweet was a sarcastic response to your sarcastic tweet. Sarcasm everywhere.,figurative,1
Trump Campaign Spokesman: “Mr. Trump speaks for Mr. Trump and nobody but Mr. Trump speaks for him.”,figurative,1
"Saw a girl had a tattoo of an anchor on her neck. Written above ""Unsinkable."" I don't think she knows what an anchor does. ?",figurative,1
I prayed for something...I actually got what I prayed for but it came at a huge cost to me,figurative,1
Trying to book a holiday is so stressful struggling here ffs 😡 😭,figurative,1
Gotta love impromptu meetings...,figurative,1
"It's funny but I like my women chunky but I hate the fact that I, myself, have gotten chunky. LMFAO!",figurative,1
Este Jimmy' 😂 No wonder we won!,figurative,1
'do they you twat.',figurative,1
Let's be honest...Iran IS a bad idea. Let's give them weapons and then act completely surprised when they use them on us!,figurative,1
"""Too bad Hitler & Goering didn't have veto right regarding Nuremberg Trial"": on 2day's disgrace.",figurative,1
"Pretty sure Adam Goodes war dance was Un-Australian, I am also a moron",figurative,1
"Weird thing is, it's a DVD of .avi's of ""Lie To Me"". (No, I can't make this stuff up! 😂)",figurative,1
Thousand of tweets on at last terrorist will hang after 22yrs in jail & on his birthday buy what's of,figurative,1
BOi ke chamche crying about Producers nos,figurative,1
Mental health practitiones are jailers anyway - they have the powers to detain the innocent.,figurative,1
"funny thing, I took a snapshot and was going to post it on here...just to see what response I'd get lol",figurative,1
"""We"" Huh? So Mr. Peters is including himself in this statement. ""Mr. Peters has a Soft Heart.."" I can't. Lol. I'm sorry.",figurative,1
"Apparently the Bin Laden plane hit a Porsche, it's 911 all over again.",figurative,1
"The Jewish guy who hated & stabbed people at gay parade will go back to prison & fully get to embrace his ""gay side"" at it's best!",figurative,1
"On becoming Speaker: ""Bishop said the parliament was entitled to have dignity returned to it.""",figurative,1
ALL YOU FANS WAITING FOR RONDA DONT BE SOUR AND FEEL THE POWERRRRRRRRRRRRR COZ ITS A NEW DAY YES IT IS,figurative,1
#NAME?,figurative,1
my shoe made a trade with the orioles bringing back Zach Britton to me,figurative,1
Just in case! !,figurative,1
"Ahaha! Yes, THAT’s exactly why! With articles like this, no wonder you disabled comments.",figurative,1
"West Ham, in the Europa League qualifiers through fair play, have had 3 red cards plus Bilic sent to the stands in 5 games 😂",figurative,1
I forgot how much I love writing with a pen and paper. Typing is overrated.,figurative,1
We have actually had a match kick off somewhere close enough to on time...This is a feat of major proportions,figurative,1
The Persian subtitle of one of these screenshots reads: Hezbollah is our honor.,figurative,1
Good thing its not about hate,figurative,1
"2/2 Guess the value meal isn't so valuable! Also, no straw. Maybe is only now included with the meals.",figurative,1
"Just got word from Twitter that it's . Evidently Twitter has yet to inform my boyfriend, the social media guy.",figurative,1
makes perfect sense. I'm sure there aren't enough workers in Fl to fill these jobs.,figurative,1
its probably cousins with the spider I found crawling around my room today,figurative,1
tech. has shifted our romantic relationships; & photo-advmts including pic texts of our bodies is intriguing,figurative,1
Most people do.,figurative,1
"Congrats u have the best pitcher in baseball David Price. 2 bad you have the worst pitcher too, drew hutchison.",figurative,1
Painting the bedroom. If there's 2 things I love it's painting and moving …,figurative,1
"well, I feel all cheered up....",figurative,1
Good people don't vandalize :,figurative,1
He is so thrilled 😋 lol,figurative,1
"mullah omer's death revelation made by an entity, a spoiler who least contends for peace",figurative,1
Is this Catching Fireflies? They also have a Hunger Games outfit for something like $150.,figurative,1
Well I'd be glad to stick around for the & the ...and the :-) You're still as cool as always!,figurative,1
"Well, this has been an exciting Saturday night.",figurative,1
"Ironic how the lady wearing a t-shirt, doesn't have a credit card with money on it",figurative,1
"I am shocked, SHOCKED, that Swagger ONCE AGAIN lost to Rusev. Who. Would. Have. Thought.",figurative,1
now this a shocker.,figurative,1
It's almost poetic that I'm watching ant man while getting attacked by mosquitos,figurative,1
"Or maybe he's actually talking about ""tunnels"".",figurative,1
"In my high school yearbook, I listed the following pet peeves in my senior blurb: Beards, burliness, & being cold.",figurative,1
It's 9 o'clock and I'm having a fucking wonderful day,figurative,1
lol white people and their endangered animals amirite? Hunters provide them with income!,figurative,1
1. A kid wearing an Andrew Luck shirt & a Patriots hat.,figurative,1
I'm glad nobody can read minds.,figurative,1
haha why would you tag me? Lol 😏,figurative,1
Wow! The heart of the order is really putting up a fight here to answer that 4 run bottom of the 2nd.,figurative,1
Standing outside the Bank of England and 'bank robber' by the clash comes on via shuffle. Oh the irony.,figurative,1
Bummer. Some parents are so bad about that type of thing. I had to beg my sis to take pictures of her kids.,figurative,1
A slut calling someone else a slut,figurative,1
A man who can drive safely while kissing a pretty girl is just not giving the kiss the attention that it deserves. Albert Einstein,figurative,1
Looks like meek mill was the one who needed the ghost writer lol 😂😂 Drake&gt;&gt;&gt;&gt;&gt; meek,figurative,1
Look forward to failing - apparently that's the new cool,figurative,1
Did you forget the on that tweet? Or? haha,figurative,1
She fell for your personality & left you for the same thing...,figurative,1
Bravo to the Manhattan for being the only store with plungers for the customers to use.,figurative,1
"if you're ""humiliated"" why announce ""fired"" you? I'm sure you'll get on answering my tweet real fast",figurative,1
overrun by lawlessness. Our candidate 4 mayor in 2017? Paul Kersey.,figurative,1
"I am shocked, shocked. Did I say that I am shocked.",figurative,1
"YUP. DEFINITELY a catch. Clearly, he's controllin the ball all the way to the ground.",figurative,1
Get into Europe under the fair play rules in each round now we have had a player sent off!,figurative,1
he should have tried for the trifecta,figurative,1
Half a game at most...at least it didn't compromise integrity of the game!,figurative,1
"On private server--&gt; Hillary: ""Does it have to be secure?"" Huma: ""Non secure""",figurative,1
MakesMeSmile BeingLectured2byPeopleWhoJoined 5minsAgo from,figurative,1
When people tweet certain things and you can't help feeling they've done exactly the same thing to you?!,figurative,1
Sometimes the more you resist what's good for you the more it hurts. But do you know what's good for you??,figurative,1
$1.99 Sat Aug 1 & Sun Aug 2 only !,figurative,1
Working alone is fun 😒,figurative,1
What a great night ....,figurative,1
U2: Bring Back the - via |,figurative,1
Modi touching feet of skull-cap wearing map!!Did he change after reading ur article?,figurative,1
But I'm not bitter or anything. lol,figurative,1
's customer service is phenomenal.,figurative,1
How do you Americanize an African name?,figurative,1
Planet of the Apes style. Genius.,figurative,1
sliced my thumb open trying to open a box of knives,figurative,1
Another greatest achievement of DPRK...,figurative,1
Tom Hayes taken to prison in a van owned by a company that repaid 69m for tagging dead people.,figurative,1
In Kazakhstan we practice Fear-Driven Development where bad code(r) is yelled at until it becomes good.,figurative,1
I always wonder how much and hate it when I hit the bottle and Twitter at the same time. So much,figurative,1
Hope they don't shoot back. That will make them Terrible People.,figurative,1
Train accident is such a sad news. Were they bullet trains by any chance?,figurative,1
...you're really not helping,figurative,1
I would love someone from the SNP to do an unofficial biography of David Torrance.,figurative,1
Who didn't?? 😂😂,figurative,1
"Oh God, I'm nearly crying from laughter just third hand remembering..didn't do so my perfect world he thought=compliment",figurative,1
""": ""and Zuma will know us better"" - OMG...who were we kind to to deserve Julius Malema? """,figurative,1
", and anti-vaxxers still won't take it because Ebola is a harmless childhood illness.",figurative,1
"The dudes who think that abs look ""manly"" on a girl are typically the ones that don't have any",figurative,1
Sac bunts are so great... stupid baseball,figurative,1
"In Malaysia, you can say those are donations. Now everyone can receive donations!",figurative,1
Stenhouse wrecks..... Surely it can't be???,figurative,1
"just played a song right after a song, on a Drake station ?",figurative,1
"All the people brutally killing animals, it's a shame somebody didn't shoot a harpoon through their own mothers isn't it",figurative,1
The of the Labor Herald advertising for volunteer staff -,figurative,1
I forgot that Shelli and Clay were both HoH last week.,figurative,1
but they are the ultimate OTP!,figurative,1
"It really is true, 808 heart break",figurative,1
My goal in life is to find an Anytime Fitness with a closed sign.,figurative,1
I lost many close friend because of Twitter.,figurative,1
"All you need in this is and , and then is sure. ~ Mark Twain",figurative,1
i have to say to my mum that i'm gonna get the tattoo on thursday...she will be so happy,figurative,1
First of 2 loads at our lovely recycling facility. My weekly tradition of fun & relaxation.,figurative,1
WOW. So the trip was super boring then?,figurative,1
This DDoS is just a promo for Valve must be a sub-corp of EvilCorp. Watch it on USA Wednesdays 10/9 c,figurative,1
"Heard elsewhere: ""In India, sarcasm is like electricity. Half the country doesn't get it.""",figurative,1
But Seohyun ask us to sleep early... hahaha,figurative,1
"I think Brendan is going to start with me up front against Stoke. He's an inspirational mentor. Guide me, oh wise one",figurative,1
One you can easily quote wise men and people will appreciate it however one just quote and and people get offended.,figurative,1
More media blackout with . Glad to see talking about Biden... with no mention of,figurative,1
Haha Shelli trying to lecture James on what it means to keep your word,figurative,1
Excited to go back to school!!!,figurative,1
Of course it's a political conspiracy. Women take unnecessary advantage of being women.,figurative,1
24 hours later and I finally get a form (sigh) from to fill in re my query. Clearly private banking for the win,figurative,1
"selling decorations in August has got to be one of the best PR/marketing stunts of the year. Lap it up, people",figurative,1
the thing about government and the system as such is that neither really get better they just get bigger.. bigger in cost and issues,figurative,1
Don't you just love it when you click on the 'open in app' option and it takes you to the App Store but you have the app😡,figurative,1
"no.21: David is so modest and humble, he thinks someone should build a statue in his honor.",figurative,1
Thanks for mentioning the new police app without telling us what it's called,figurative,1
How dare they leave out Step Up: All In!!!,figurative,1
"Also I think you mean: ""nobody wants to text your retarded ass"" instead of ""want a"".",figurative,1
"My iPod has started offering up awesome shuffles, like multiple songs from the same album in a row.",figurative,1
"Thanks iTunes, i wanted you to replace and delete the artwork that I had for my music. That's what I wanted",figurative,1
An awfully fence sitting take on things by Gregg Zaun. Lol,figurative,1
Are eligible?,figurative,1
Like i dont understand how people are able to follow someone who is fighting someone corrupt kanti themselves are corrupt,figurative,1
forgot to add tag,figurative,1
"More like Papelbad, amirite?",figurative,1
"yeah, but I already have photos of your boobs and pussy (from before)",figurative,1
The people of Washington must be beaming with pride,figurative,1
RT : Can't believe Kelly Osbourne said that about Hispanics after her dramatic Fashion Police exit,figurative,1
Hey it's 3pm and it's raining outside. That's a surprise.,figurative,1
Complains about hunting in a leopard print dress,figurative,1
My favorite thing ever is having someone take credit for something I did....,figurative,1
"Oh good, now I can spend more time illegally texting and just generally not paying attention",figurative,1
"Guys, AJ Lee changed her @. She is sooooo queen btw.",figurative,1
"Haha! I've been followed now by Buddhist Wristbands with the tagline ""Authentic wristbands blessed with good karma""",figurative,1
"Yay, I'm home from work and wow, it's only 22:20 pm 🎉",figurative,1
"Shit. He sucks. Trade him. Fire Ventura. Fire Hahn. Jerry should sell the team. Oh, and Crawford sucks.",figurative,1
I would love to work at for a day to develop the responses for questions. It would be a blast fuckin w/ people.,figurative,1
"Fact: As soon as I drove my ""new"" car off the lot, it started raining.",figurative,1
20 minute lunch periods have me SO excited for school to start :-)))),figurative,1
STRAIGHT OUTTA COMPTON trailer during,figurative,1
"I don't get those raised cycle lanes. They're only ""raised"" for bicycle tyres. Car tyres don't even notice them.",figurative,1
Well today's theater hatchet carrier has a history of mental illness. Lucky guy. His past won't get dragged.,figurative,1
I love iPhone chargers so much😊,figurative,1
Hahaha Carson talking about useful idiots.,figurative,1
Pepper-spray/hatchet theater attacker w/pellet gun; so we shouldn't fear or need 4 till next time,figurative,1
nothing screams vacation like home fries,figurative,1
I just had a coughing fit in the plague museum,figurative,1
"After today's sad news about , I see him on the cover of",figurative,1
